"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2026","202.34","201.81","202.57","201.35","77.20K","0.98%"
"06/05/2026","200.38","204.26","204.36","199.85","423.43K","-2.57%"
"06/04/2026","205.67","204.37","206.00","204.37","114.30K","0.50%"
"06/03/2026","204.65","205.68","205.91","204.52","1.31M","-0.74%"
"06/02/2026","206.18","205.16","206.33","205.16","963.04K","0.40%"
"06/01/2026","205.36","204.37","205.80","204.20","545.05K","0.21%"
"05/29/2026","204.93","205.05","205.65","204.80","1.86M","0.06%"
"05/28/2026","204.80","203.55","204.91","203.29","1.15M","0.44%"
"05/27/2026","203.91","204.11","204.22","203.22","362.96K","-0.04%"
"05/26/2026","204.00","204.09","204.33","203.43","446.94K","0.72%"
"05/22/2026","202.54","202.78","203.34","202.24","1.14M","0.23%"
"05/21/2026","202.07","199.88","202.52","199.88","1.59M","0.29%"
"05/20/2026","201.49","199.43","201.65","199.12","185.76K","1.27%"
"05/19/2026","198.97","199.26","200.15","198.41","879.78K","-0.64%"
"05/18/2026","200.25","200.61","200.86","198.79","625.82K","0.17%"
"05/15/2026","199.92","200.60","200.88","199.53","427.46K","-1.39%"
"05/14/2026","202.74","201.90","203.17","201.90","677.85K","0.55%"
"05/13/2026","201.63","200.47","201.88","200.00","338.33K","0.53%"
"05/12/2026","200.57","200.10","200.69","198.74","666.24K","-0.15%"
"05/11/2026","200.88","200.36","201.29","200.36","541.83K","0.12%"
"05/08/2026","200.64","200.10","200.75","200.08","413.93K","0.76%"
"05/07/2026","199.12","200.97","200.97","198.74","674.99K","-0.75%"
"05/06/2026","200.63","199.28","200.78","199.01","943.34K","1.83%"
"05/05/2026","197.03","196.74","197.61","196.62","2.14M","0.75%"
"05/04/2026","195.56","196.28","196.95","194.92","687.46K","-0.61%"
"05/01/2026","196.76","196.90","197.88","196.68","535.25K","0.11%"
"04/30/2026","196.55","195.18","196.77","194.25","11.52M","1.38%"
"04/29/2026","193.87","193.93","194.06","193.02","476.93K","-0.29%"
"04/28/2026","194.43","194.59","194.72","193.69","6.06M","-0.52%"
"04/27/2026","195.45","195.14","195.56","194.74","1.86M","0.09%"
"04/24/2026","195.27","194.46","195.39","193.95","477.90K","0.75%"
"04/23/2026","193.82","194.50","195.17","192.15","1.54M","-0.56%"
"04/22/2026","194.92","194.67","195.00","194.34","771.50K","0.85%"
"04/21/2026","193.28","195.52","195.66","192.93","2.49M","-1.14%"
"04/20/2026","195.51","195.21","195.61","194.61","2.06M","-0.14%"
"04/17/2026","195.79","195.25","196.48","194.87","276.82K","1.25%"
"04/16/2026","193.38","193.64","193.75","192.78","273.02K","0.03%"
"04/15/2026","193.33","192.21","193.43","191.89","1.37M","0.69%"
"04/14/2026","192.00","190.76","192.21","190.74","1.05M","1.06%"
"04/13/2026","189.99","187.58","190.09","187.37","752.85K","0.85%"
"04/10/2026","188.38","188.96","189.19","188.02","285.23K","0.01%"
"04/09/2026","188.36","187.11","188.78","186.70","618.47K","0.37%"
"04/08/2026","187.66","188.11","188.54","186.69","628.30K","2.84%"
"04/07/2026","182.47","181.74","182.55","180.19","264.13K","-0.03%"
"04/06/2026","182.52","181.79","182.68","181.71","226.74K","0.44%"
"04/02/2026","181.72","179.11","182.30","178.65","457.72K","-0.05%"
"04/01/2026","181.81","181.58","182.76","181.23","1.56M","0.99%"
"03/31/2026","180.02","177.18","180.27","176.65","2.36M","2.90%"
"03/30/2026","174.94","177.05","177.07","174.24","555.62K","-0.27%"
