"","Date","Price","Open","High","Low","Vol.","Return"
"1",2016-01-03,429,"473.00","473.00","429.00",NA,-10.25
"2",2016-01-10,373,"415.00","415.00","373.00",NA,-13.05
"3",2016-01-17,354,"369.00","369.00","354.00",NA,-5.09
"4",2016-01-24,317,"354.00","354.00","317.00",NA,-10.45
"5",2016-01-31,297,"314.00","314.00","297.00",NA,-6.31
"6",2016-02-07,291,"293.00","293.00","290.00",NA,-2.02
"7",2016-02-14,315,"295.00","315.00","295.00",NA,8.25
"8",2016-02-21,327,"316.00","327.00","316.00",NA,3.81
"9",2016-02-28,349,"329.00","349.00","329.00",NA,6.73
"10",2016-03-06,388,"354.00","388.00","354.00",NA,11.17
"11",2016-03-13,395,"393.00","396.00","392.00",NA,1.8
"12",2016-03-20,406,"398.00","406.00","398.00",NA,2.78
"13",2016-03-27,450,"409.00","450.00","409.00",NA,10.84
"14",2016-04-03,539,"471.00","539.00","471.00",NA,19.78
"15",2016-04-10,635,"555.00","635.00","555.00",NA,17.81
"16",2016-04-17,688,"659.00","688.00","659.00",NA,8.35
"17",2016-04-24,703,"690.00","715.00","690.00",NA,2.18
"18",2016-05-01,631,"682.00","682.00","631.00",NA,-10.24
"19",2016-05-08,600,"616.00","616.00","579.00",NA,-4.91
"20",2016-05-15,625,"613.00","643.00","613.00",NA,4.17
"21",2016-05-22,606,"624.00","624.00","601.00",NA,-3.04
"22",2016-05-29,610,"612.00","612.00","606.00",NA,0.66
"23",2016-06-05,610,"607.00","611.00","606.00",NA,0
"24",2016-06-12,587,"609.00","609.00","587.00",NA,-3.77
"25",2016-06-19,609,"582.00","609.00","580.00",NA,3.75
"26",2016-06-26,677,"616.00","677.00","616.00",NA,11.17
"27",2016-07-03,703,"688.00","703.00","688.00",NA,3.84
"28",2016-07-10,745,"704.00","745.00","704.00",NA,5.97
"29",2016-07-17,718,"748.00","748.00","718.00",NA,-3.62
"30",2016-07-24,656,"709.00","709.00","656.00",NA,-8.64
"31",2016-07-31,636,"650.00","650.00","636.00",NA,-3.05
"32",2016-08-07,671,"636.00","671.00","631.00",NA,5.5
"33",2016-08-14,683,"681.00","687.00","681.00",NA,1.79
"34",2016-08-21,720,"687.00","720.00","687.00",NA,5.42
"35",2016-08-28,720,"715.00","720.00","711.00",NA,0
"36",2016-09-04,804,"724.00","804.00","724.00",NA,11.67
"37",2016-09-11,800,"804.00","804.00","756.00",NA,-0.5
"38",2016-09-18,941,"836.00","941.00","836.00",NA,17.63
"39",2016-09-25,875,"934.00","934.00","875.00",NA,-7.01
"40",2016-10-02,921,"864.00","921.00","860.00",NA,5.26
"41",2016-10-09,892,"922.00","922.00","885.00",NA,-3.15
"42",2016-10-16,842,"894.00","894.00","842.00",NA,-5.61
"43",2016-10-23,834,"831.00","834.00","798.00",NA,-0.95
"44",2016-10-30,855,"857.00","857.00","834.00",NA,2.52
"45",2016-11-06,1045,"870.00","1,045.00","870.00",NA,22.22
"46",2016-11-13,1257,"1,065.00","1,257.00","1,065.00",NA,20.29
"47",2016-11-20,1181,"1,240.00","1,240.00","1,181.00",NA,-6.05
"48",2016-11-27,1198,"1,184.00","1,204.00","1,184.00",NA,1.44
"49",2016-12-04,1090,"1,196.00","1,196.00","1,090.00",NA,-9.02
"50",2016-12-11,946,"1,069.00","1,069.00","946.00",NA,-13.21
"51",2016-12-18,961,"926.00","961.00","914.00",NA,1.59
"52",2017-01-01,963,"953.00","983.00","953.00",NA,0.21
"53",2017-01-08,910,"949.00","949.00","892.00",NA,-5.5
"54",2017-01-15,925,"925.00","952.00","922.00",NA,1.65
"55",2017-01-22,827,"914.00","914.00","827.00",NA,-10.59
"56",2017-01-29,752,"816.00","816.00","752.00",NA,-9.07
"57",2017-02-05,702,"735.00","735.00","702.00",NA,-6.65
"58",2017-02-12,741,"688.00","741.00","685.00",NA,5.56
"59",2017-02-19,875,"757.00","875.00","757.00",NA,18.08
"60",2017-02-26,939,"878.00","939.00","859.00",NA,7.31
"61",2017-03-05,1086,"979.00","1,086.00","979.00",NA,15.65
"62",2017-03-12,1196,"1,099.00","1,196.00","1,099.00",NA,10.13
"63",2017-03-19,1240,"1,205.00","1,240.00","1,190.00",NA,3.68
"64",2017-03-26,1297,"1,282.00","1,338.00","1,282.00",NA,4.6
"65",2017-04-02,1223,"1,282.00","1,282.00","1,215.00",NA,-5.71
"66",2017-04-09,1296,"1,231.00","1,296.00","1,231.00",NA,5.97
"67",2017-04-16,1195,"1,294.00","1,294.00","1,195.00",NA,-7.79
"68",2017-04-23,1109,"1,170.00","1,170.00","1,109.00",NA,-7.2
"69",2017-04-30,994,"1,073.00","1,073.00","994.00",NA,-10.37
"70",2017-05-07,1014,"1,001.00","1,014.00","1,001.00",NA,2.01
"71",2017-05-14,956,"994.00","994.00","956.00",NA,-5.72
"72",2017-05-21,912,"954.00","954.00","912.00",NA,-4.6
"73",2017-05-28,830,"900.00","900.00","830.00",NA,-8.99
"74",2017-06-04,849,"821.00","849.00","818.00",NA,2.29
"75",2017-06-11,851,"870.00","870.00","851.00",NA,0.24
"76",2017-06-18,870,"848.00","870.00","844.00",NA,2.23
"77",2017-06-25,901,"884.00","929.00","884.00",NA,3.56
"78",2017-07-02,822,"882.00","882.00","822.00",NA,-8.77
"79",2017-07-09,900,"820.00","900.00","820.00",NA,9.49
"80",2017-07-16,977,"912.00","977.00","912.00",NA,8.56
"81",2017-07-23,933,"977.00","980.00","933.00",NA,-4.5
"82",2017-07-30,1032,"946.00","1,032.00","946.00",NA,10.61
"83",2017-08-06,1138,"1,036.00","1,138.00","1,036.00",NA,10.27
"84",2017-08-13,1260,"1,155.00","1,260.00","1,155.00",NA,10.72
"85",2017-08-20,1209,"1,266.00","1,266.00","1,200.00",NA,-4.05
"86",2017-08-27,1183,"1,203.00","1,203.00","1,181.00",NA,-2.15
"87",2017-09-03,1332,"1,187.00","1,332.00","1,187.00",NA,12.6
"88",2017-09-10,1385,"1,355.00","1,385.00","1,337.00",NA,3.98
"89",2017-09-17,1502,"1,398.00","1,502.00","1,398.00",NA,8.45
"90",2017-09-24,1356,"1,503.00","1,503.00","1,356.00",NA,-9.72
"91",2017-10-01,1405,"1,328.00","1,405.00","1,308.00",NA,3.61
"92",2017-10-08,1485,"1,411.00","1,485.00","1,411.00",NA,5.69
"93",2017-10-15,1578,"1,523.00","1,582.00","1,523.00",NA,6.26
"94",2017-10-22,1546,"1,586.00","1,588.00","1,546.00",NA,-2.03
"95",2017-10-29,1476,"1,534.00","1,534.00","1,476.00",NA,-4.53
"96",2017-11-05,1464,"1,473.00","1,486.00","1,464.00",NA,-0.81
"97",2017-11-12,1371,"1,445.00","1,445.00","1,361.00",NA,-6.35
"98",2017-11-19,1458,"1,385.00","1,458.00","1,385.00",NA,6.35
"99",2017-11-26,1626,"1,477.00","1,626.00","1,477.00",NA,11.52
"100",2017-12-03,1702,"1,662.00","1,702.00","1,662.00",NA,4.67
"101",2017-12-10,1619,"1,727.00","1,743.00","1,619.00",NA,-4.88
"102",2017-12-17,1366,"1,588.00","1,588.00","1,366.00",NA,-15.63
"103",2017-12-31,1371,"1,230.00","1,371.00","1,230.00",NA,0.37
"104",2018-01-07,1279,"1,385.00","1,395.00","1,279.00",NA,-6.71
"105",2018-01-14,1125,"1,264.00","1,264.00","1,125.00",NA,-12.04
"106",2018-01-21,1219,"1,129.00","1,219.00","1,129.00",NA,8.36
"107",2018-01-28,1095,"1,214.00","1,214.00","1,095.00",NA,-10.17
"108",2018-02-04,1125,"1,082.00","1,125.00","1,082.00",NA,2.74
"109",2018-02-11,1084,"1,123.00","1,123.00","1,084.00",NA,-3.64
"110",2018-02-18,1185,"1,087.00","1,185.00","1,087.00",NA,9.32
"111",2018-02-25,1207,"1,191.00","1,207.00","1,188.00",NA,1.86
"112",2018-03-04,1201,"1,210.00","1,212.00","1,191.00",NA,-0.5
"113",2018-03-11,1143,"1,192.00","1,192.00","1,143.00",NA,-4.83
"114",2018-03-18,1122,"1,136.00","1,136.00","1,117.00",NA,-1.84
"115",2018-03-25,1055,"1,126.00","1,126.00","1,055.00",NA,-5.97
"116",2018-04-01,948,"1,016.00","1,016.00","948.00",NA,-10.14
"117",2018-04-08,1014,"952.00","1,014.00","952.00",NA,6.96
"118",2018-04-15,1281,"1,025.00","1,281.00","1,025.00",NA,26.33
"119",2018-04-22,1361,"1,306.00","1,376.00","1,306.00",NA,6.25
"120",2018-04-29,1384,"1,341.00","1,384.00","1,327.00",NA,1.69
"121",2018-05-06,1472,"1,432.00","1,472.00","1,432.00",NA,6.36
"122",2018-05-13,1273,"1,476.00","1,476.00","1,273.00",NA,-13.52
"123",2018-05-20,1077,"1,239.00","1,239.00","1,077.00",NA,-15.4
"124",2018-05-27,1156,"1,057.00","1,156.00","1,042.00",NA,7.34
"125",2018-06-03,1391,"1,193.00","1,395.00","1,193.00",NA,20.33
"126",2018-06-10,1445,"1,387.00","1,445.00","1,387.00",NA,3.88
"127",2018-06-17,1341,"1,442.00","1,442.00","1,341.00",NA,-7.2
"128",2018-06-24,1385,"1,333.00","1,385.00","1,309.00",NA,3.28
"129",2018-07-01,1622,"1,422.00","1,622.00","1,422.00",NA,17.11
"130",2018-07-08,1666,"1,609.00","1,666.00","1,555.00",NA,2.71
"131",2018-07-15,1689,"1,695.00","1,721.00","1,657.00",NA,1.38
"132",2018-07-22,1676,"1,718.00","1,774.00","1,676.00",NA,-0.77
"133",2018-07-29,1773,"1,703.00","1,773.00","1,703.00",NA,5.79
"134",2018-08-05,1691,"1,773.00","1,773.00","1,691.00",NA,-4.62
"135",2018-08-12,1723,"1,709.00","1,727.00","1,709.00",NA,1.89
"136",2018-08-19,1697,"1,727.00","1,736.00","1,697.00",NA,-1.51
"137",2018-08-26,1579,"1,684.00","1,684.00","1,579.00",NA,-6.95
"138",2018-09-02,1490,"1,557.00","1,557.00","1,477.00",NA,-5.64
"139",2018-09-09,1366,"1,482.00","1,482.00","1,366.00",NA,-8.32
"140",2018-09-16,1413,"1,357.00","1,413.00","1,356.00",NA,3.44
"141",2018-09-23,1540,"1,434.00","1,540.00","1,434.00",NA,8.99
"142",2018-09-30,1536,"1,555.00","1,574.00","1,536.00",NA,-0.26
"143",2018-10-07,1579,"1,530.00","1,579.00","1,493.00",NA,2.8
"144",2018-10-14,1576,"1,584.00","1,584.00","1,554.00",NA,-0.19
"145",2018-10-21,1519,"1,579.00","1,579.00","1,516.00",NA,-3.62
"146",2018-10-28,1457,"1,522.00","1,522.00","1,457.00",NA,-4.08
"147",2018-11-04,1147,"1,428.00","1,428.00","1,147.00",NA,-21.28
"148",2018-11-11,1031,"1,125.00","1,125.00","1,009.00",NA,-10.11
"149",2018-11-18,1093,"1,023.00","1,093.00","1,003.00",NA,6.01
"150",2018-11-25,1231,"1,217.00","1,339.00","1,217.00",NA,12.63
"151",2018-12-02,1372,"1,203.00","1,372.00","1,203.00",NA,11.45
"152",2018-12-09,1401,"1,385.00","1,401.00","1,353.00",NA,2.11
"153",2018-12-16,1279,"1,406.00","1,406.00","1,279.00",NA,-8.71
"154",2018-12-23,1271,"1,271.00","1,271.00","1,271.00",NA,-0.63
"155",2018-12-30,1260,"1,282.00","1,282.00","1,260.00",NA,-0.87
"156",2019-01-06,1169,"1,247.00","1,262.00","1,169.00",NA,-7.22
"157",2019-01-13,1112,"1,147.00","1,147.00","1,055.00",NA,-4.88
"158",2019-01-20,905,"1,092.00","1,092.00","905.00",NA,-18.62
"159",2019-01-27,645,"852.00","852.00","645.00",NA,-28.73
"160",2019-02-03,601,"634.00","634.00","601.00",NA,-6.82
"161",2019-02-10,639,"595.00","639.00","595.00",NA,6.32
"162",2019-02-17,634,"643.00","643.00","622.00",NA,-0.78
"163",2019-02-24,664,"637.00","664.00","637.00",NA,4.73
"164",2019-03-03,649,"669.00","669.00","649.00",NA,-2.26
"165",2019-03-10,730,"645.00","730.00","645.00",NA,12.48
"166",2019-03-17,690,"721.00","721.00","690.00",NA,-5.48
"167",2019-03-24,689,"689.00","692.00","683.00",NA,-0.14
"168",2019-03-31,711,"685.00","711.00","672.00",NA,3.19
"169",2019-04-07,726,"714.00","734.00","714.00",NA,2.11
"170",2019-04-14,790,"738.00","790.00","738.00",NA,8.82
"171",2019-04-21,889,"821.00","889.00","821.00",NA,12.53
"172",2019-04-28,985,"913.00","1,032.00","913.00",NA,10.8
"173",2019-05-05,1013,"936.00","1,013.00","936.00",NA,2.84
"174",2019-05-12,1040,"1,026.00","1,043.00","1,026.00",NA,2.67
"175",2019-05-19,1066,"1,041.00","1,068.00","1,041.00",NA,2.5
"176",2019-05-26,1096,"1,082.00","1,107.00","1,082.00",NA,2.81
"177",2019-06-02,1138,"1,103.00","1,141.00","1,103.00",NA,3.83
"178",2019-06-09,1085,"1,125.00","1,125.00","1,062.00",NA,-4.66
"179",2019-06-16,1239,"1,093.00","1,239.00","1,093.00",NA,14.19
"180",2019-06-23,1354,"1,258.00","1,354.00","1,258.00",NA,9.28
"181",2019-06-30,1740,"1,381.00","1,740.00","1,381.00",NA,28.51
"182",2019-07-07,1865,"1,725.00","1,865.00","1,725.00",NA,7.18
"183",2019-07-14,2170,"1,928.00","2,170.00","1,928.00",NA,16.35
"184",2019-07-21,1937,"2,191.00","2,191.00","1,937.00",NA,-10.74
"185",2019-07-28,1788,"1,922.00","1,922.00","1,788.00",NA,-7.69
"186",2019-08-04,1748,"1,774.00","1,774.00","1,712.00",NA,-2.24
"187",2019-08-11,2088,"1,774.00","2,088.00","1,774.00",NA,19.45
"188",2019-08-18,2168,"2,067.00","2,168.00","2,059.00",NA,3.83
"189",2019-08-25,2378,"2,213.00","2,378.00","2,213.00",NA,9.69
"190",2019-09-01,2462,"2,442.00","2,518.00","2,442.00",NA,3.53
"191",2019-09-08,2312,"2,422.00","2,422.00","2,312.00",NA,-6.09
"192",2019-09-15,2131,"2,311.00","2,311.00","2,131.00",NA,-7.83
"193",2019-09-22,1857,"2,108.00","2,116.00","1,857.00",NA,-12.86
"194",2019-09-29,1767,"1,823.00","1,823.00","1,757.00",NA,-4.85
"195",2019-10-06,1924,"1,770.00","1,929.00","1,770.00",NA,8.89
"196",2019-10-13,1855,"1,916.00","1,916.00","1,855.00",NA,-3.59
"197",2019-10-20,1801,"1,846.00","1,846.00","1,779.00",NA,-2.91
"198",2019-10-27,1697,"1,803.00","1,803.00","1,697.00",NA,-5.77
"199",2019-11-03,1378,"1,675.00","1,675.00","1,378.00",NA,-18.8
"200",2019-11-10,1357,"1,345.00","1,365.00","1,345.00",NA,-1.52
"201",2019-11-17,1284,"1,338.00","1,338.00","1,255.00",NA,-5.38
"202",2019-11-24,1528,"1,351.00","1,528.00","1,351.00",NA,19
"203",2019-12-01,1558,"1,568.00","1,606.00","1,558.00",NA,1.96
