"","Date","Price","Open","High","Low","Vol.","Return"
"1",2026-01-02,313.69,"308.56","315.81","308.56","8.49M",4.16
"2",2026-01-05,318.06,"320.70","322.64","316.88","7.92M",1.39
"3",2026-01-06,328.35,"322.07","329.15","322.00","7.58M",3.24
"4",2026-01-07,324.89,"325.05","325.95","322.11","4.53M",-1.05
"5",2026-01-08,319.58,"324.19","324.19","316.40","5.41M",-1.63
"6",2026-01-09,328.78,"322.80","330.67","321.11","7.32M",2.88
"7",2026-01-12,330.35,"325.70","331.38","325.53","5.16M",0.48
"8",2026-01-13,333.3,"332.85","336.42","331.89","3.84M",0.89
"9",2026-01-14,331.9,"331.03","331.99","327.17","5.47M",-0.42
"10",2026-01-15,337.22,"343.10","344.55","337.22","6.53M",1.6
"11",2026-01-16,342.47,"343.51","345.41","340.22","5.13M",1.56
"12",2026-01-20,337.35,"336.20","343.19","335.96","6.23M",-1.5
"13",2026-01-21,348.14,"341.84","351.33","340.30","7.20M",3.2
"14",2026-01-22,348.67,"354.36","354.60","347.37","4.66M",0.15
"15",2026-01-23,344.71,"346.39","348.03","342.17","4.34M",-1.14
"16",2026-01-26,343.07,"343.29","345.50","341.13","4.46M",-0.48
"17",2026-01-27,351.08,"348.16","353.20","346.65","5.29M",2.33
"18",2026-01-28,360.46,"358.53","362.04","356.71","5.36M",2.67
"19",2026-01-29,361.13,"361.18","363.80","347.72","8.45M",0.19
"20",2026-01-30,346.3,"356.00","360.19","343.71","8.72M",-4.11
"21",2026-02-02,352.69,"342.37","356.11","341.90","7.76M",1.85
"22",2026-02-03,345.64,"355.90","357.12","338.09","8.37M",-2
"23",2026-02-04,330.38,"342.18","345.39","323.33","15.23M",-4.42
"24",2026-02-05,330.83,"326.54","335.47","324.04","10.41M",0.14
"25",2026-02-06,348.51,"337.39","349.56","335.87","9.10M",5.34
"26",2026-02-09,352.77,"344.84","354.74","343.88","7.09M",1.22
"27",2026-02-10,351.43,"353.52","355.04","348.12","6.25M",-0.38
"28",2026-02-11,360.2,"358.82","362.28","351.40","7.50M",2.5
"29",2026-02-12,351.5,"363.45","365.38","351.05","9.49M",-2.42
"30",2026-02-13,354.66,"352.80","357.61","348.67","5.96M",0.9
"31",2026-02-17,354.1,"349.80","357.10","345.32","4.07M",-0.16
"32",2026-02-18,357.92,"355.82","361.67","353.60","5.68M",1.08
"33",2026-02-19,355.84,"354.17","356.32","351.77","5.58M",-0.58
"34",2026-02-20,359.43,"353.59","361.33","352.80","6.01M",1.01
"35",2026-02-23,356.82,"357.57","360.38","352.85","6.34M",-0.73
"36",2026-02-24,362.04,"361.60","364.74","358.04","6.21M",1.46
"37",2026-02-25,368,"366.20","368.82","365.51","4.54M",1.65
"38",2026-02-26,356.8,"366.38","366.48","350.41","13.33M",-3.04
"39",2026-02-27,352.29,"349.60","354.03","348.34","6.25M",-1.26
"40",2026-03-02,352.05,"343.79","352.33","343.34","7.28M",-0.07
"41",2026-03-03,334.78,"338.09","339.31","330.89","17.95M",-4.91
"42",2026-03-04,341.54,"339.96","343.81","336.79","10.65M",2.02
"43",2026-03-05,337.76,"338.90","343.72","330.57","7.24M",-1.11
"44",2026-03-06,323.51,"328.40","335.04","321.49","8.73M",-4.22
"45",2026-03-09,336.37,"318.31","337.17","316.22","9.82M",3.98
"46",2026-03-10,338.81,"336.31","345.56","336.31","7.47M",0.73
"47",2026-03-11,342.09,"340.50","345.40","340.45","6.22M",0.97
"48",2026-03-12,330.19,"337.34","337.55","328.64","8.01M",-3.48
"49",2026-03-13,331.32,"333.88","338.40","329.79","6.45M",0.34
"50",2026-03-16,337.83,"338.89","342.04","336.32","8.02M",1.96
"51",2026-03-17,340.25,"340.56","341.16","336.79","4.47M",0.72
"52",2026-03-18,338.29,"340.52","343.44","338.29","6.36M",-0.58
"53",2026-03-19,340.2,"328.76","342.77","326.76","8.29M",0.56
"54",2026-03-20,332.51,"339.71","341.25","327.94","9.44M",-2.26
"55",2026-03-23,336.59,"340.11","344.93","335.12","8.15M",1.23
"56",2026-03-24,341.02,"333.79","343.22","333.62","5.29M",1.32
"57",2026-03-25,345.25,"344.17","347.68","342.14","5.87M",1.24
"58",2026-03-26,328.85,"339.45","339.89","328.52","10.17M",-4.75
"59",2026-03-27,323.48,"326.84","329.95","322.16","6.33M",-1.63
"60",2026-03-30,309.79,"326.75","327.63","307.26","13.20M",-4.23
"61",2026-03-31,328.66,"315.60","329.18","314.88","14.04M",6.09
"62",2026-04-01,338.54,"333.49","342.65","332.35","10.13M",3.01
"63",2026-04-02,339.61,"325.11","340.39","325.03","6.52M",0.32
"64",2026-04-06,344.1,"341.52","345.77","339.92","3.11M",1.32
"65",2026-04-07,347.76,"343.04","347.94","338.47","4.03M",1.06
"66",2026-04-08,370.4,"367.89","371.15","362.13","9.87M",6.51
"67",2026-04-09,378.63,"371.30","378.95","371.30","6.04M",2.22
"68",2026-04-10,386.6,"382.67","389.60","382.67","5.60M",2.1
"69",2026-04-13,393.34,"384.88","393.57","384.37","4.38M",1.74
"70",2026-04-14,401.24,"397.83","401.44","393.51","5.20M",2.01
"71",2026-04-15,401.86,"400.31","402.09","392.39","5.57M",0.15
"72",2026-04-16,405.95,"400.60","407.48","397.99","4.40M",1.02
"73",2026-04-17,415.71,"413.38","415.73","409.58","5.73M",2.4
"74",2026-04-20,417.55,"417.43","418.86","411.79","3.49M",0.44
"75",2026-04-21,420.7,"420.40","423.35","416.67","3.68M",0.75
"76",2026-04-22,431.77,"427.26","432.16","422.82","6.56M",2.63
"77",2026-04-23,441,"435.34","446.64","434.04","10.81M",2.14
"78",2026-04-24,461.6,"457.59","463.87","450.97","9.07M",4.67
"79",2026-04-27,455.41,"461.75","463.00","448.93","8.92M",-1.34
"80",2026-04-28,438.71,"437.63","446.14","431.74","11.01M",-3.67
"81",2026-04-29,449.99,"445.26","450.37","442.41","5.97M",2.57
"82",2026-04-30,461.44,"455.70","462.14","449.34","5.17M",2.54
"83",2026-05-01,465.75,"458.47","466.91","455.07","4.16M",0.93
"84",2026-05-04,462.06,"467.93","469.61","457.81","5.23M",-0.79
