"","Date","Price","Open","High","Low","Vol.","Return"
"1",2016-01-03,64.81," 68.02"," 68.60"," 64.57","1.76M",-6.88
"2",2016-01-10,62.94," 65.39"," 65.66"," 62.43","85.26K",-2.89
"3",2016-01-17,64.19," 63.77"," 64.29"," 60.81","160.08K",1.99
"4",2016-01-24,65.35," 63.93"," 65.35"," 63.10","153.23K",1.81
"5",2016-01-31,63.34," 64.70"," 65.61"," 63.16","329.03K",-3.08
"6",2016-02-07,62.13," 62.35"," 62.68"," 60.52","469.42K",-1.91
"7",2016-02-14,64.31," 63.03"," 65.11"," 62.80","374.65K",3.51
"8",2016-02-21,65.08," 65.10"," 65.81"," 63.34","173.76K",1.2
"9",2016-02-28,67.8," 65.33"," 68.00"," 64.97","191.85K",4.18
"10",2016-03-06,68.62," 67.29"," 68.68"," 66.62","207.64K",1.21
"11",2016-03-13,69.12," 68.45"," 69.45"," 67.62","166.64K",0.73
"12",2016-03-20,68.47," 69.33"," 69.36"," 67.87","209.13K",-0.94
"13",2016-03-27,69.2," 68.90"," 69.99"," 68.24","338.85K",1.07
"14",2016-04-03,68.95," 69.20"," 69.52"," 68.03","390.20K",-0.36
"15",2016-04-10,70.29," 69.37"," 70.64"," 68.65","174.41K",1.94
"16",2016-04-17,71.39," 69.95"," 71.87"," 69.94","144.69K",1.56
"17",2016-04-24,70.11," 71.10"," 71.70"," 69.87","116.44K",-1.79
"18",2016-05-01,69.26," 70.85"," 71.05"," 69.01","95.85K",-1.21
"19",2016-05-08,69.04," 69.35"," 70.55"," 69.00","141.12K",-0.32
"20",2016-05-15,69.46," 69.46"," 70.13"," 68.54","144.20K",0.61
"21",2016-05-22,70.83," 69.24"," 70.98"," 69.16","152.00K",1.97
"22",2016-05-29,71.16," 71.56"," 71.56"," 70.56","102.71K",0.47
"23",2016-06-05,70.19," 71.20"," 72.10"," 70.00","76.11K",-1.36
"24",2016-06-12,69.64," 69.75"," 70.14"," 68.23","82.35K",-0.78
"25",2016-06-19,67.47," 70.86"," 71.46"," 66.62","166.07K",-3.12
