"","Date","Price","Open","High","Low","Vol.","Return"
"1",2016-01-03,1104.24,"1,065.36","1,112.40","1,061.90",NA,4.1
"2",2016-01-10,1089.1,"1,104.17","1,108.49","1,071.38",NA,-1.37
"3",2016-01-17,1098.3,"1,089.60","1,109.59","1,082.93",NA,0.84
"4",2016-01-24,1118.04,"1,097.86","1,128.20","1,097.36",NA,1.8
"5",2016-01-31,1173.69,"1,117.90","1,174.90","1,116.26",NA,4.98
"6",2016-02-07,1238.05,"1,170.89","1,260.98","1,164.09",NA,5.48
"7",2016-02-14,1228.19,"1,232.55","1,239.88","1,190.79",NA,-0.8
"8",2016-02-21,1222.6,"1,226.13","1,253.30","1,202.02",NA,-0.46
"9",2016-02-28,1259.44,"1,222.73","1,279.98","1,217.98",NA,3.01
"10",2016-03-06,1248.44,"1,259.48","1,282.89","1,237.44",NA,-0.87
"11",2016-03-13,1255.3,"1,251.32","1,271.61","1,226.41",NA,0.55
"12",2016-03-20,1216.47,"1,254.62","1,259.97","1,212.58",NA,-3.09
"13",2016-03-27,1222.49,"1,214.49","1,243.29","1,208.54",NA,0.49
"14",2016-04-03,1240.39,"1,219.98","1,243.88","1,214.34",NA,1.46
"15",2016-04-10,1234.05,"1,239.78","1,262.98","1,223.79",NA,-0.51
"16",2016-04-17,1232.3,"1,234.09","1,270.48","1,227.35",NA,-0.14
"17",2016-04-24,1293.74,"1,232.09","1,296.49","1,230.09",NA,4.99
"18",2016-05-01,1288.7,"1,293.71","1,304.00","1,269.26",NA,-0.39
"19",2016-05-08,1273.6,"1,284.95","1,288.00","1,257.65",NA,-1.17
"20",2016-05-15,1252.3,"1,272.49","1,288.59","1,244.38",NA,-1.67
"21",2016-05-22,1212.4,"1,250.91","1,255.86","1,206.70",NA,-3.19
"22",2016-05-29,1244.49,"1,213.41","1,244.91","1,200.01",NA,2.65
"23",2016-06-05,1274.2,"1,242.80","1,278.10","1,234.85",NA,2.39
"24",2016-06-12,1298.6,"1,274.04","1,315.93","1,272.68",NA,1.91
"25",2016-06-19,1315.98,"1,285.90","1,358.70","1,251.66",NA,1.34
"26",2016-06-26,1342.3,"1,326.24","1,344.60","1,305.62",NA,2
"27",2016-07-03,1366.8,"1,342.60","1,375.31","1,336.08",NA,1.83
"28",2016-07-10,1337.85,"1,368.71","1,375.11","1,320.22",NA,-2.12
"29",2016-07-17,1322.38,"1,332.79","1,336.28","1,310.93",NA,-1.16
"30",2016-07-24,1350.91,"1,322.50","1,355.42","1,312.35",NA,2.16
"31",2016-07-31,1335.8,"1,350.22","1,368.03","1,334.87",NA,-1.12
"32",2016-08-07,1336.19,"1,335.37","1,357.65","1,330.03",NA,0.03
"33",2016-08-14,1341.78,"1,338.19","1,358.57","1,336.07",NA,0.42
"34",2016-08-21,1321.33,"1,340.56","1,345.18","1,317.94",NA,-1.52
"35",2016-08-28,1325.01,"1,320.42","1,329.09","1,302.27",NA,0.28
"36",2016-09-04,1328.15,"1,324.13","1,353.11","1,322.02",NA,0.24
"37",2016-09-11,1310.43,"1,328.18","1,332.56","1,306.62",NA,-1.33
"38",2016-09-18,1337.61,"1,310.99","1,344.04","1,308.60",NA,2.07
"39",2016-09-25,1315.96,"1,336.82","1,342.21","1,312.83",NA,-1.62
"40",2016-10-02,1256.97,"1,318.22","1,320.09","1,241.68",NA,-4.48
"41",2016-10-09,1250.55,"1,257.58","1,265.46","1,247.51",NA,-0.51
"42",2016-10-16,1266.75,"1,250.25","1,274.32","1,250.25",NA,1.3
"43",2016-10-23,1276.3,"1,266.21","1,284.53","1,260.75",NA,0.75
"44",2016-10-30,1304.25,"1,278.41","1,308.26","1,271.29",NA,2.19
"45",2016-11-06,1225.68,"1,291.61","1,337.50","1,219.50",NA,-6.02
"46",2016-11-13,1208.69,"1,227.89","1,233.45","1,203.90",NA,-1.39
"47",2016-11-20,1183.63,"1,208.46","1,221.81","1,171.96",NA,-2.07
"48",2016-11-27,1176.92,"1,183.08","1,197.58","1,160.42",NA,-0.57
"49",2016-12-04,1157.87,"1,182.84","1,187.83","1,156.17",NA,-1.62
"50",2016-12-11,1134.09,"1,159.02","1,165.86","1,122.45",NA,-2.05
"51",2016-12-18,1133.49,"1,134.35","1,142.70","1,125.62",NA,-0.05
"52",2016-12-25,1151.85,"1,133.94","1,163.53","1,131.73",NA,1.62
"53",2017-01-01,1172.81,"1,150.80","1,184.99","1,145.77",NA,1.82
"54",2017-01-08,1197.66,"1,172.93","1,207.38","1,172.18",NA,2.12
"55",2017-01-15,1209.96,"1,200.57","1,219.04","1,195.87",NA,1.03
"56",2017-01-22,1191.6,"1,209.71","1,219.97","1,181.04",NA,-1.52
"57",2017-01-29,1219.88,"1,192.54","1,225.38","1,187.85",NA,2.37
"58",2017-02-05,1234.12,"1,219.67","1,244.78","1,219.01",NA,1.17
"59",2017-02-12,1235.29,"1,231.52","1,243.84","1,216.48",NA,0.09
"60",2017-02-19,1256.94,"1,235.21","1,260.48","1,226.12",NA,1.75
"61",2017-02-26,1234.3,"1,257.41","1,263.88","1,222.59",NA,-1.8
"62",2017-03-05,1204.55,"1,232.49","1,236.84","1,194.62",NA,-2.41
"63",2017-03-12,1229.15,"1,205.68","1,233.88","1,197.54",NA,2.04
"64",2017-03-19,1244.17,"1,229.41","1,253.49","1,226.69",NA,1.22
"65",2017-03-26,1249.13,"1,248.00","1,261.53","1,240.05",NA,0.4
"66",2017-04-02,1254.05,"1,248.40","1,270.96","1,243.85",NA,0.39
"67",2017-04-09,1285.69,"1,254.26","1,289.14","1,247.50",NA,2.52
"68",2017-04-16,1284.5,"1,292.96","1,295.92","1,276.23",NA,-0.09
"69",2017-04-23,1268.15,"1,270.27","1,278.67","1,260.40",NA,-1.27
"70",2017-04-30,1227.74,"1,268.24","1,271.24","1,225.35",NA,-3.19
"71",2017-05-07,1228.83,"1,225.67","1,237.10","1,214.31",NA,0.09
"72",2017-05-14,1255.55,"1,228.40","1,265.54","1,227.20",NA,2.17
"73",2017-05-21,1267.05,"1,256.09","1,269.88","1,247.63",NA,0.92
"74",2017-05-28,1279.98,"1,267.50","1,279.98","1,259.00",NA,1.02
"75",2017-06-04,1266.4,"1,279.34","1,296.47","1,264.74",NA,-1.06
"76",2017-06-11,1253.63,"1,267.20","1,279.87","1,251.55",NA,-1.01
"77",2017-06-18,1256.9,"1,254.00","1,259.31","1,241.25",NA,0.26
"78",2017-06-25,1241.6,"1,258.03","1,258.44","1,236.86",NA,-1.22
"79",2017-07-02,1212.9,"1,241.46","1,242.83","1,207.25",NA,-2.31
"80",2017-07-09,1228.98,"1,213.70","1,233.16","1,204.85",NA,1.33
"81",2017-07-16,1254.9,"1,228.60","1,256.30","1,228.30",NA,2.11
"82",2017-07-23,1269.25,"1,255.78","1,271.34","1,243.91",NA,1.14
"83",2017-07-30,1258.6,"1,270.41","1,274.72","1,254.75",NA,-0.84
"84",2017-08-06,1289.21,"1,259.04","1,292.26","1,251.41",NA,2.43
"85",2017-08-13,1284.5,"1,289.40","1,301.20","1,267.63",NA,-0.37
"86",2017-08-20,1291.15,"1,283.33","1,294.14","1,278.66",NA,0.52
"87",2017-08-27,1324.97,"1,292.18","1,329.20","1,291.90",NA,2.62
"88",2017-09-03,1346.71,"1,334.40","1,357.94","1,327.39",NA,1.64
"89",2017-09-10,1319.62,"1,337.45","1,340.37","1,316.12",NA,-2.01
"90",2017-09-17,1297.38,"1,319.97","1,319.97","1,288.01",NA,-1.69
"91",2017-09-24,1279.45,"1,297.62","1,313.89","1,277.61",NA,-1.38
"92",2017-10-01,1276.03,"1,279.82","1,282.76","1,260.89",NA,-0.27
"93",2017-10-08,1304.88,"1,275.65","1,304.88","1,275.41",NA,2.26
"94",2017-10-15,1280.72,"1,303.54","1,306.46","1,276.62",NA,-1.85
"95",2017-10-22,1273.35,"1,277.82","1,284.41","1,264.10",NA,-0.58
"96",2017-10-29,1269.85,"1,273.59","1,284.48","1,265.55",NA,-0.27
