"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2026","2,818.00","2,916.00","2,916.00","2,818.00","","-5.47%"
"05/31/2026","2,981.00","3,222.00","3,222.00","2,981.00","","-7.54%"
"05/24/2026","3,224.00","3,226.00","3,226.00","3,224.00","","7.79%"
"05/17/2026","2,991.00","2,991.00","2,991.00","2,991.00","","-5.08%"
"05/10/2026","3,151.00","3,151.00","3,151.00","3,151.00","","5.81%"
"05/03/2026","2,978.00","2,978.00","2,978.00","2,978.00","","9.08%"
"04/26/2026","2,730.00","2,730.00","2,730.00","2,730.00","","2.44%"
"04/19/2026","2,665.00","2,665.00","2,665.00","2,665.00","","3.82%"
"04/12/2026","2,567.00","2,567.00","2,567.00","2,567.00","","16.63%"
"04/05/2026","2,201.00","2,201.00","2,201.00","2,201.00","","6.53%"
"03/29/2026","2,066.00","2,066.00","2,066.00","2,066.00","","1.72%"
"03/22/2026","2,031.00","2,014.00","2,031.00","2,014.00","","-1.22%"
"03/15/2026","2,056.00","2,057.00","2,057.00","2,056.00","","1.38%"
"03/08/2026","2,028.00","2,028.00","2,028.00","2,028.00","","0.90%"
"03/01/2026","2,010.00","2,010.00","2,010.00","2,010.00","","-6.07%"
"02/22/2026","2,140.00","2,140.00","2,140.00","2,140.00","","4.75%"
"02/15/2026","2,043.00","2,095.00","2,095.00","2,019.00","","-1.92%"
"02/08/2026","2,083.00","2,083.00","2,083.00","2,083.00","","8.32%"
"02/01/2026","1,923.00","1,923.00","1,923.00","1,923.00","","-10.47%"
"01/25/2026","2,148.00","2,148.00","2,148.00","2,148.00","","21.91%"
"01/18/2026","1,762.00","1,762.00","1,762.00","1,762.00","","12.44%"
"01/11/2026","1,567.00","1,567.00","1,567.00","1,567.00","","-7.17%"
"01/04/2026","1,688.00","1,688.00","1,688.00","1,688.00","","-10.31%"
"12/28/2025","1,882.00","1,882.00","1,882.00","1,882.00","","0.27%"
"12/21/2025","1,877.00","1,979.00","1,979.00","1,877.00","","-7.22%"
"12/14/2025","2,023.00","2,071.00","2,071.00","2,023.00","","-8.25%"
"12/07/2025","2,205.00","2,205.00","2,205.00","2,205.00","","-19.14%"
"11/30/2025","2,727.00","2,727.00","2,727.00","2,727.00","","6.52%"
"11/23/2025","2,560.00","2,560.00","2,560.00","2,560.00","","12.53%"
"11/16/2025","2,275.00","2,275.00","2,275.00","2,275.00","","7.06%"
"11/09/2025","2,125.00","2,077.00","2,125.00","2,077.00","","1.00%"
"11/02/2025","2,104.00","2,104.00","2,104.00","2,104.00","","7.02%"
"10/26/2025","1,966.00","1,966.00","1,966.00","1,966.00","","-1.26%"
"10/19/2025","1,991.00","1,991.00","1,991.00","1,991.00","","-3.77%"
"10/12/2025","2,069.00","2,046.00","2,069.00","2,046.00","","6.87%"
"10/05/2025","1,936.00","1,936.00","1,936.00","1,936.00","","1.84%"
"09/28/2025","1,901.00","1,901.00","1,901.00","1,901.00","","-15.85%"
"09/21/2025","2,259.00","2,259.00","2,259.00","2,259.00","","2.54%"
"09/14/2025","2,203.00","2,203.00","2,203.00","2,203.00","","3.62%"
"09/07/2025","2,126.00","2,126.00","2,126.00","2,126.00","","7.43%"
"08/31/2025","1,979.00","1,963.00","1,979.00","1,963.00","","-2.27%"
"08/24/2025","2,025.00","2,025.00","2,025.00","2,025.00","","4.17%"
"08/17/2025","1,944.00","1,893.00","1,944.00","1,893.00","","-4.89%"
"08/10/2025","2,044.00","2,039.00","2,044.00","2,039.00","","-0.34%"
"08/03/2025","2,051.00","2,051.00","2,051.00","2,051.00","","1.64%"
"07/27/2025","2,018.00","2,018.00","2,018.00","2,018.00","","-10.59%"
"07/20/2025","2,257.00","2,257.00","2,257.00","2,257.00","","9.99%"
"07/13/2025","2,052.00","2,052.00","2,052.00","2,052.00","","23.39%"
"07/06/2025","1,663.00","1,663.00","1,663.00","1,663.00","","15.81%"
"06/29/2025","1,436.00","1,436.00","1,436.00","1,436.00","","-5.59%"
"06/22/2025","1,521.00","1,674.00","1,681.00","1,521.00","","-9.95%"
"06/15/2025","1,689.00","1,975.00","1,975.00","1,689.00","","-14.18%"
"06/08/2025","1,968.00","1,691.00","1,968.00","1,680.00","","20.51%"
"06/01/2025","1,633.00","1,422.00","1,633.00","1,422.00","","15.16%"
"05/25/2025","1,418.00","1,296.00","1,418.00","1,296.00","","5.82%"
"05/18/2025","1,340.00","1,347.00","1,347.00","1,337.00","","-3.46%"
"05/11/2025","1,388.00","1,304.00","1,388.00","1,267.00","","6.85%"
"05/04/2025","1,299.00","1,406.00","1,406.00","1,299.00","","-8.59%"
"04/27/2025","1,421.00","1,403.00","1,421.00","1,386.00","","3.50%"
"04/20/2025","1,373.00","1,261.00","1,373.00","1,261.00","","8.88%"
"04/13/2025","1,261.00","1,282.00","1,282.00","1,241.00","","-1.02%"
"04/06/2025","1,274.00","1,401.00","1,401.00","1,259.00","","-14.44%"
"03/30/2025","1,489.00","1,598.00","1,598.00","1,489.00","","-7.05%"
"03/23/2025","1,602.00","1,652.00","1,652.00","1,602.00","","-2.50%"
"03/16/2025","1,643.00","1,658.00","1,658.00","1,635.00","","-1.56%"
"03/09/2025","1,669.00","1,424.00","1,669.00","1,424.00","","19.21%"
"03/02/2025","1,400.00","1,276.00","1,400.00","1,228.00","","13.91%"
"02/23/2025","1,229.00","1,002.00","1,229.00","1,002.00","","25.28%"
"02/16/2025","981.00","806.00","981.00","806.00","","23.86%"
"02/09/2025","792.00","809.00","809.00","776.00","","-2.82%"
"02/02/2025","815.00","738.00","815.00","738.00","","10.88%"
"01/26/2025","735.00","746.00","746.00","715.00","","-5.53%"
"01/19/2025","778.00","957.00","957.00","957.00","","-21.18%"
"01/12/2025","987.00","1,093.00","1,093.00","1,093.00","","-5.82%"
