"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2026","203.63","203.62","204.45","203.46","1.17M","0.65%"
"06/07/2026","202.32","201.90","203.09","196.71","2.41M","0.97%"
"05/31/2026","200.38","204.37","206.33","199.85","3.35M","-2.22%"
"05/24/2026","204.93","204.09","205.65","203.22","3.81M","1.18%"
"05/17/2026","202.54","200.61","203.34","198.41","4.41M","1.31%"
"05/10/2026","199.92","200.36","203.17","198.74","2.65M","-0.36%"
"05/03/2026","200.64","196.28","200.97","194.92","4.86M","1.97%"
"04/26/2026","196.76","195.14","197.88","193.02","20.46M","0.76%"
"04/19/2026","195.27","195.21","195.66","192.15","7.33M","-0.27%"
"04/12/2026","195.79","187.58","196.48","187.37","3.72M","3.93%"
"04/05/2026","188.38","181.79","189.19","180.19","2.02M","3.66%"
"03/29/2026","181.72","177.05","182.76","174.24","4.94M","3.59%"
"03/22/2026","175.42","180.87","182.53","175.00","3.82M","-1.45%"
"03/15/2026","178.00","183.62","185.45","177.01","1.85M","-2.06%"
"03/08/2026","181.75","182.97","188.35","181.47","3.26M","-1.75%"
"03/01/2026","184.98","188.22","190.65","183.76","3.62M","-3.07%"
"02/22/2026","190.84","190.91","192.53","189.00","2.00M","-0.18%"
"02/15/2026","191.19","188.53","191.41","187.50","891.30K","0.95%"
"02/08/2026","189.40","190.28","192.84","188.24","1.75M","-0.44%"
"02/01/2026","190.24","189.26","190.95","186.13","2.76M","0.32%"
"01/25/2026","189.63","189.47","191.56","188.41","2.09M","0.41%"
"01/18/2026","188.86","186.61","189.13","185.49","2.74M","-0.18%"
"01/11/2026","189.21","189.03","190.13","188.04","1.63M","-0.17%"
"01/04/2026","189.53","187.33","189.77","187.33","2.43M","1.62%"
"12/28/2025","186.51","187.04","187.49","185.59","1.54M","-0.69%"
"12/21/2025","187.81","185.95","188.00","185.69","1.12M","1.42%"
"12/14/2025","185.18","187.36","187.36","182.23","3.21M","-0.49%"
"12/07/2025","186.09","186.86","187.95","185.43","2.75M","-0.26%"
"11/30/2025","186.58","184.57","187.34","184.57","1.69M","0.50%"
"11/23/2025","185.66","179.98","185.77","179.61","2.59M","3.62%"
"11/16/2025","179.18","182.40","183.37","177.15","2.22M","-2.19%"
"11/09/2025","183.19","184.13","186.48","181.20","1.48M","0.35%"
"11/02/2025","182.56","185.86","185.86","180.13","2.55M","-1.33%"
"10/26/2025","185.03","185.63","187.07","184.29","1.33M","0.40%"
"10/19/2025","184.29","182.47","184.61","180.94","2.64M","1.46%"
"10/12/2025","181.64","179.91","182.67","178.39","4.49M","1.93%"
"10/05/2025","178.20","183.66","183.91","178.12","1.71M","-2.63%"
"09/28/2025","183.01","180.98","183.78","180.47","1.20M","1.50%"
"09/21/2025","180.30","180.62","182.07","178.50","1.11M","-0.41%"
"09/14/2025","181.04","179.87","181.16","178.50","845.79K","1.00%"
"09/07/2025","179.25","177.19","179.62","176.74","1.02M","1.60%"
"08/31/2025","176.43","173.67","177.80","173.17","756.55K","0.31%"
"08/24/2025","175.88","176.22","176.98","175.07","1.39M","-0.39%"
"08/17/2025","176.56","175.51","176.90","173.50","1.34M","0.48%"
"08/10/2025","175.72","173.51","176.23","172.90","819.74K","1.20%"
"08/03/2025","173.63","170.26","173.78","170.26","1.07M","2.76%"
"07/27/2025","168.96","173.43","173.51","168.23","2.03M","-2.76%"
"07/20/2025","173.75","171.15","173.86","170.61","2.45M","1.72%"
"07/13/2025","170.81","169.82","171.52","168.55","1.56M","0.41%"
"07/06/2025","170.11","170.15","171.21","168.79","1.21M","-0.44%"
"06/29/2025","170.87","168.99","171.02","168.59","1.44M","1.35%"
"06/22/2025","168.59","162.80","169.03","162.42","1.49M","3.42%"
"06/15/2025","163.02","164.89","165.95","162.78","1.28M","-1.20%"
"06/08/2025","165.00","166.03","167.13","164.69","1.27M","-0.51%"
"06/01/2025","165.85","163.11","166.17","162.55","1.43M","1.56%"
"05/25/2025","163.31","162.85","164.00","161.91","1.51M","1.46%"
"05/18/2025","160.96","162.21","164.01","159.63","2.04M","-1.56%"
"05/11/2025","163.51","160.38","163.53","159.23","2.40M","4.29%"
"05/04/2025","156.78","156.54","157.93","155.05","1.56M","-0.27%"
"04/27/2025","157.21","153.24","157.59","151.20","1.77M","2.72%"
"04/20/2025","153.05","145.80","153.09","142.53","1.93M","4.35%"
"04/13/2025","146.67","149.18","149.66","144.80","1.48M","-0.17%"
"04/06/2025","146.92","134.67","149.31","132.93","5.09M","5.51%"
"03/30/2025","139.25","151.06","155.04","139.19","2.23M","-8.92%"
"03/23/2025","152.88","156.60","157.97","152.64","1.26M","-1.51%"
"03/16/2025","155.23","154.55","156.85","153.84","1.95M","0.50%"
"03/09/2025","154.46","155.20","155.66","150.87","2.05M","-2.02%"
"03/02/2025","157.64","161.32","161.55","155.00","1.66M","-1.48%"
"02/23/2025","160.00","161.88","161.97","157.38","1.34M","-0.79%"
"02/16/2025","161.28","164.00","164.21","161.09","1.11M","-1.39%"
"02/09/2025","163.56","161.62","164.00","160.38","1.17M","1.84%"
"02/02/2025","160.60","158.01","162.55","157.52","996.31K","-0.04%"
"01/26/2025","160.66","158.95","162.69","158.85","1.88M","-0.67%"
"01/19/2025","161.74","159.62","162.36","159.11","1.32M","2.11%"
"01/12/2025","158.40","152.80","158.86","152.76","1.52M","2.69%"
"01/05/2025","154.25","158.07","159.10","153.74","1.48M","-1.74%"
"12/29/2024","156.98","156.12","157.04","154.27","1.86M","-0.39%"
"12/22/2024","157.60","156.47","159.27","155.67","1.68M","0.79%"
"12/15/2024","156.36","161.63","162.02","153.99","1.83M","-3.09%"
"12/08/2024","161.35","163.11","163.14","160.96","1.41M","-0.98%"
"12/01/2024","162.95","161.33","163.18","161.02","1.17M","1.12%"
"11/24/2024","161.14","160.27","161.28","159.26","1.07M","1.18%"
"11/17/2024","159.26","156.76","159.35","156.23","1.70M","1.66%"
"11/10/2024","156.66","160.41","160.53","156.15","934.88K","-2.01%"
