"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2026","4,325.56","4,343.19","4,353.52","4,268.74","","-0.42%"
"06/07/2026","4,343.98","4,329.26","4,347.01","4,310.50","","0.34%"
"06/05/2026","4,329.33","4,476.24","4,482.02","4,311.41","","-3.26%"
"06/04/2026","4,475.43","4,442.83","4,515.55","4,423.79","","0.92%"
"06/03/2026","4,434.42","4,489.18","4,500.71","4,426.10","","-1.20%"
"06/02/2026","4,488.09","4,487.30","4,541.82","4,462.78","","0.07%"
"06/01/2026","4,485.15","4,521.91","4,546.44","4,447.12","","-1.20%"
"05/31/2026","4,539.67","4,539.40","4,545.81","4,519.21","","0.01%"
"05/29/2026","4,539.27","4,494.94","4,595.31","4,488.68","","0.99%"
"05/28/2026","4,494.93","4,456.22","4,516.99","4,366.41","","0.82%"
"05/27/2026","4,458.21","4,507.52","4,538.55","4,401.45","","-1.09%"
"05/26/2026","4,507.51","4,573.40","4,581.35","4,482.64","","-1.39%"
"05/25/2026","4,571.16","4,542.00","4,582.34","4,535.99","","1.37%"
"05/22/2026","4,509.38","4,542.41","4,552.77","4,491.79","","-0.79%"
"05/21/2026","4,545.18","4,544.30","4,572.71","4,489.59","","0.00%"
"05/20/2026","4,545.16","4,482.18","4,552.78","4,453.12","","1.40%"
"05/19/2026","4,482.46","4,567.63","4,589.76","4,465.34","","-1.86%"
"05/18/2026","4,567.61","4,531.42","4,584.54","4,480.31","","0.61%"
"05/15/2026","4,540.07","4,651.98","4,665.73","4,511.62","","-2.41%"
"05/14/2026","4,651.97","4,688.84","4,718.93","4,643.90","","-0.78%"
"05/13/2026","4,688.63","4,715.29","4,727.21","4,669.45","","-0.56%"
"05/12/2026","4,715.27","4,734.97","4,773.83","4,638.32","","-0.42%"
"05/11/2026","4,735.27","4,683.79","4,748.78","4,647.54","","0.43%"
"05/08/2026","4,714.89","4,686.82","4,750.75","4,678.20","","0.60%"
"05/07/2026","4,686.81","4,690.26","4,765.17","4,684.44","","-0.07%"
"05/06/2026","4,690.25","4,569.01","4,723.55","4,546.22","","2.92%"
"05/05/2026","4,557.23","4,523.91","4,586.79","4,513.27","","0.74%"
"05/04/2026","4,523.90","4,623.02","4,631.43","4,500.85","","-1.97%"
"05/01/2026","4,614.95","4,626.45","4,660.62","4,559.94","","-0.17%"
"04/30/2026","4,622.59","4,541.53","4,647.51","4,539.39","","1.73%"
"04/29/2026","4,544.12","4,595.52","4,610.39","4,509.96","","-1.12%"
"04/28/2026","4,595.51","4,682.12","4,701.82","4,554.63","","-1.85%"
"04/27/2026","4,682.10","4,699.05","4,730.18","4,666.96","","-0.58%"
"04/24/2026","4,709.25","4,693.89","4,740.58","4,657.64","","0.33%"
"04/23/2026","4,693.88","4,738.79","4,754.40","4,664.33","","-0.95%"
"04/22/2026","4,738.78","4,721.80","4,772.59","4,708.34","","0.55%"
"04/21/2026","4,712.85","4,820.25","4,833.34","4,667.96","","-2.24%"
"04/20/2026","4,820.83","4,792.93","4,828.07","4,736.74","","-0.20%"
"04/17/2026","4,830.43","4,792.42","4,889.70","4,767.47","","0.87%"
"04/16/2026","4,788.58","4,791.83","4,840.28","4,773.26","","-0.05%"
"04/15/2026","4,791.14","4,841.06","4,871.78","4,786.37","","-1.03%"
"04/14/2026","4,841.14","4,743.06","4,846.97","4,741.01","","2.10%"
"04/13/2026","4,741.69","4,686.91","4,750.39","4,644.20","","-0.14%"
"04/10/2026","4,748.18","4,765.77","4,795.42","4,731.04","","-0.37%"
"04/09/2026","4,766.00","4,730.48","4,801.51","4,698.56","","0.99%"
"04/08/2026","4,719.37","4,744.50","4,856.30","4,699.46","","0.28%"
"04/07/2026","4,706.00","4,660.00","4,718.25","4,607.30","","1.18%"
"04/06/2026","4,650.89","4,653.83","4,706.67","4,601.08","","-0.55%"
"04/03/2026","4,676.42","4,676.42","4,676.42","4,676.42","","0.00%"
"04/02/2026","4,676.42","4,758.78","4,801.00","4,553.94","","-1.73%"
"04/01/2026","4,758.76","4,672.02","4,793.35","4,661.66","","1.86%"
"03/31/2026","4,672.01","4,511.95","4,687.54","4,482.80","","3.56%"
"03/30/2026","4,511.25","4,493.00","4,581.62","4,419.81","","0.41%"
"03/27/2026","4,492.99","4,390.14","4,556.15","4,375.49","","2.58%"
"03/26/2026","4,380.03","4,511.80","4,544.46","4,350.78","","-2.81%"
"03/25/2026","4,506.55","4,473.51","4,602.64","4,456.13","","0.72%"
"03/24/2026","4,474.44","4,413.83","4,484.27","4,306.15","","1.52%"
"03/23/2026","4,407.62","4,491.66","4,536.32","4,098.87","","-1.86%"
"03/20/2026","4,491.15","4,649.68","4,736.16","4,477.82","","-3.45%"
"03/19/2026","4,651.73","4,825.59","4,867.56","4,503.08","","-3.47%"
"03/18/2026","4,818.81","5,006.76","5,017.54","4,806.80","","-3.74%"
"03/17/2026","5,006.00","5,006.18","5,044.84","4,973.75","","-0.01%"
"03/16/2026","5,006.43","5,019.26","5,038.38","4,967.50","","-0.26%"
"03/13/2026","5,019.25","5,080.70","5,129.13","5,009.51","","-1.20%"
"03/12/2026","5,080.07","5,177.38","5,194.79","5,054.67","","-1.87%"
"03/11/2026","5,177.07","5,189.84","5,223.62","5,149.95","","-0.31%"
"03/10/2026","5,192.94","5,139.30","5,238.70","5,117.84","","1.04%"
"03/09/2026","5,139.56","5,180.45","5,199.37","5,014.73","","-0.61%"
"03/06/2026","5,171.12","5,077.43","5,175.06","5,062.89","","1.85%"
"03/05/2026","5,077.39","5,135.96","5,196.15","5,050.84","","-1.14%"
